A,British (White) 
B,Irish (White) 
C,Any other White background 
D,White and Black Caribbean (Mixed) 
E,White and Black African (Mixed) 
F,White and Asian (Mixed) 
G,Any other Mixed background 
H,Indian (Asian or Asian British) 
J,Pakistani (Asian or Asian British)
K,Bangladeshi (Asian or Asian British) 
L,Any other Asian background 
M,Caribbean (Black or Black British) 
N,African (Black or Black British) 
P,Any other Black background 
R,Chinese
S,Any other ethnic group 
Z,Not stated
X,Not known
99,Not known
